qid1,qid2,label,wid1,cid1,wid2,cid2
S108317,S121762,0,W108280 W101334 W105150 W106264 W107254 W107059 W106425 W105604 W100806 W107835,C100586 C100170 C102242 C100646 C100981 C102153 C100800 C102221 C101445 C100895 C100889 C100778 C101468 C101834 C102058 C102153 C101164 C101318 C102210 C101353,W106264 W108565 W106245 W106237 W105604 W100806 W107835,C100800 C102221 C101425 C100379 C101347 C100477 C100439 C101147 C101834 C102153 C101164 C101318 C102210 C101353
S133380,S121762,1,W106264 W106455 W106237 W108904 W105604 W100806 W103016,C100800 C102221 C101940 C101699 C101147 C101834 C100693 C102153 C101164 C101318 C101999 C101046,W106264 W108565 W106245 W106237 W105604 W100806 W107835,C100800 C102221 C101425 C100379 C101347 C100477 C100439 C101147 C101834 C102153 C101164 C101318 C102210 C101353
S127049,S105742,0,W101301 W105754 W102976 W105578 W104740,C100339 C101021 C100964 C102296 C100969 C102153 C100003 C100633 C101642 C101318 C100887,W109034 W106978 W106978 W103686 W106978 W106978 W105754 W106978 W106978 W107954 W106978 W106978 W108212 W106978 W106978 W100260 W106978 W106978 W100929 W106978 W106978 W105754 W106978 W106978 W103948 W106978 W106978 W106525 W106978 W106978 W102841 W106978 W106978 W106978 W106978,C101802 C101265 C101459 C101459 C100339 C101459 C101459 C102296 C101459 C101459 C101205 C101870 C101459 C101459 C101807 C101459 C101459 C101021 C102188 C101459 C101459 C100972 C101395 C101459 C101459 C102296 C101459 C101459 C101176 C101357 C101459 C101459 C100210 C100249 C101459 C101459 C102147 C101609
S132454,S105742,1,W100778 W106124 W105754 W107795 W105754 W102172 W100091 W105754 W109079 W104740 W106503 W106503 W106503 W106503,C101867 C101915 C101802 C101265 C100339 C102296 C101481 C100339 C102296 C102105 C101862 C101663 C101460 C100332 C102296 C101981 C101642 C101318 C100887 C102239 C102239 C102239 C102239,W109034 W106978 W106978 W103686 W106978 W106978 W105754 W106978 W106978 W107954 W106978 W106978 W108212 W106978 W106978 W100260 W106978 W106978 W100929 W106978 W106978 W105754 W106978 W106978 W103948 W106978 W106978 W106525 W106978 W106978 W102841 W106978 W106978 W106978 W106978,C101802 C101265 C101459 C101459 C100339 C101459 C101459 C102296 C101459 C101459 C101205 C101870 C101459 C101459 C101807 C101459 C101459 C101021 C102188 C101459 C101459 C100972 C101395 C101459 C101459 C102296 C101459 C101459 C101176 C101357 C101459 C101459 C100210 C100249 C101459 C101459 C102147 C101609
S127633,S112837,1,W108463 W100323 W109026 W103546 W107395,C100291 C101643 C100114 C100637 C101263 C100114 C101642 C101318 C100882,W102817 W103791 W100323 W107170 W100714 W104806 W106503,C102244 C100269 C101836 C101968 C101263 C100291 C101643 C100114 C101642 C100710 C100882 C100915 C102239
S131866,S112837,0,W102817 W104865 W108524 W100778 W100323 W109461 W103546 W107395 W106503 W107332 W100968,C102244 C100269 C100393 C102139 C101317 C101867 C101915 C101263 C100291 C101643 C100114 C100290 C100114 C101642 C101318 C100882 C102239 C101330 C101330 C101635,W102817 W103791 W100323 W107170 W100714 W104806 W106503,C102244 C100269 C101836 C101968 C101263 C100291 C101643 C100114 C101642 C100710 C100882 C100915 C102239
S109727,S132656,1,W102817 W105090 W108280 W100259 W104416 W106503,C102244 C100269 C102125 C100064 C100417 C100586 C100147 C101033 C100087 C101350 C102239,W105090 W100323 W104806 W104975 W108280 W109120,C102125 C100064 C100417 C101263 C100882 C100915 C101917 C101496 C100586 C100541 C100096
S121435,S121688,1,W105090 W100748 W109020,C102125 C100064 C100417 C101807 C101466 C102147 C100609 C101192,W107878 W100748 W103948 W109020 W105754 W106667 W106092,C102125 C101061 C100064 C101807 C101466 C102147 C101176 C101357 C100609 C101192 C102296 C101579 C101934 C100468 C101192
S101220,S121688,0,W108594 W105717 W100323 W103513 W106918 W103215 W105554 W102841 W109079 W103948 W108410,C102125 C101985 C101061 C101975 C100743 C101263 C102281 C101780 C100605 C102125 C101727 C102000 C100508 C102147 C101609 C101981 C101176 C101357 C100583 C100774,W107878 W100748 W103948 W109020 W105754 W106667 W106092,C102125 C101061 C100064 C101807 C101466 C102147 C101176 C101357 C100609 C101192 C102296 C101579 C101934 C100468 C101192
S134071,S129743,1,W108594 W100848 W108212 W100167 W100298 W103734 W100458 W104740,C102125 C101985 C101061 C100114 C100637 C101985 C102002 C101807 C100591 C100988 C100964 C100148 C100779 C100635 C101642 C101318 C100887,W106841 W108212 W102734 W105754 W107367 W100458 W105754 W109079 W104740,C100473 C102052 C101807 C101285 C100204 C101324 C101009 C102296 C100591 C100779 C100635 C102296 C101981 C101642 C101318 C100887
S135095,S129743,0,W106841 W108212 W102734 W107265 W103999 W105754 W108280 W100806 W100259 W104806,C100473 C102052 C101807 C101285 C100204 C101324 C101009 C101750 C101662 C100794 C101324 C100349 C102296 C100586 C101164 C101318 C100147 C101033 C100087 C100882 C100915,W106841 W108212 W102734 W105754 W107367 W100458 W105754 W109079 W104740,C100473 C102052 C101807 C101285 C100204 C101324 C101009 C102296 C100591 C100779 C100635 C102296 C101981 C101642 C101318 C100887
S108619,S118803,0,W107170 W105691 W105113 W104443 W104416,C100291 C101643 C100114 C101324 C102226 C101661 C101897 C100924 C101899 C101350,W107170 W102193 W105691 W103220,C100291 C101643 C100114 C102226 C101324 C102226 C100513 C100924
S131413,S118803,0,W100077 W108280 W105547,C100291 C101643 C100114 C100477 C100439 C100586 C100541 C100096 C101699 C101839,W107170 W102193 W105691 W103220,C100291 C101643 C100114 C102226 C101324 C102226 C100513 C100924
S117435,S110710,0,W107655 W106754 W105754 W100914 W108553 W102193 W106320 W108183 W104416,C100680 C100393 C102281 C101880 C102296 C100376 C101061 C101618 C100480 C101629 C102226 C100589 C100801 C101991 C100425 C101350,W100914 W108553 W102193 W101700 W104416,C100376 C101061 C101618 C100480 C101629 C102226 C100050 C101034 C101350
S117435,S108324,1,W107655 W106754 W105754 W100914 W108553 W102193 W106320 W108183 W104416,C100680 C100393 C102281 C101880 C102296 C100376 C101061 C101618 C100480 C101629 C102226 C100589 C100801 C101991 C100425 C101350,W100914 W108376 W106320 W105477 W104416 W108376 W102105 W104416,C100376 C101061 C101618 C101585 C101200 C100589 C101269 C100425 C101350 C101585 C101200 C100589 C100993 C101350
S110945,S105102,0,W100914 W102398 W102089 W106462 W108376 W109500 W104416 W106503,C100376 C101061 C101618 C101606 C100526 C102058 C101568 C101585 C101200 C101317 C100783 C101350 C102239,W100914 W108376 W107518 W104416 W106503,C100376 C101061 C101618 C101585 C101200 C100489 C100659 C101350 C102239
S110945,S127870,0,W100914 W102398 W102089 W106462 W108376 W109500 W104416 W106503,C100376 C101061 C101618 C101606 C100526 C102058 C101568 C101585 C101200 C101317 C100783 C101350 C102239,W106422 W103765 W100496 W104325,C101468 C101164 C101318 C101399 C101449 C101340 C101628 C100087
S110945,S114247,1,W100914 W102398 W102089 W106462 W108376 W109500 W104416 W106503,C100376 C101061 C101618 C101606 C100526 C102058 C101568 C101585 C101200 C101317 C100783 C101350 C102239,W100914 W102193 W109367 W104416 W103734 W108280 W106427 W104416,C100376 C101061 C101618 C102226 C101317 C100170 C100527 C101350 C100148 C100586 C101553 C100682 C101350
S110135,S106433,1,W108897 W100914 W100433,C101246 C101522 C102058 C100376 C101061 C101618 C101865 C101618 C100087,W108897 W100914 W104806 W100259 W105589,C101246 C101522 C102058 C100376 C101061 C101618 C100882 C100915 C100147 C101033 C100087 C100223
S110135,S108419,0,W108897 W100914 W100433,C101246 C101522 C102058 C100376 C101061 C101618 C101865 C101618 C100087,W104508 W100914 W101396 W100433 W100587 W105652 W104416,C101086 C102058 C100376 C101061 C101618 C101705 C101865 C101618 C100087 C101343 C101549 C102058 C101317 C101205 C101350
S125476,S130658,0,W104761 W107998 W100914 W108525 W108589 W108376 W100684 W104416,C100652 C101387 C100396 C100376 C101061 C101618 C101643 C100812 C101736 C100652 C101585 C101200 C101947 C100649 C101350,W100914 W108376 W107299 W104416,C100376 C101061 C101618 C101585 C101200 C101080 C100389 C101350
S129574,S130658,1,W109077 W100091 W100914 W108376 W107299 W104416,C101806 C100332 C100376 C101061 C101618 C101585 C101200 C101080 C100389 C101350,W100914 W108376 W107299 W104416,C100376 C101061 C101618 C101585 C101200 C101080 C100389 C101350
S125476,S125796,0,W104761 W107998 W100914 W108525 W108589 W108376 W100684 W104416,C100652 C101387 C100396 C100376 C101061 C101618 C101643 C100812 C101736 C100652 C101585 C101200 C101947 C100649 C101350,W107170 W105754 W100914 W105754 W108894 W103546 W104806 W106503,C100291 C101643 C100114 C102296 C100376 C101061 C101618 C102296 C100662 C101753 C102118 C101642 C101318 C100882 C100915 C102239
S121287,S125796,1,W102220 W105268 W101701 W108894 W100914 W104740 W106503,C101029 C100599 C100480 C100662 C101436 C100576 C100662 C101753 C102118 C100376 C101061 C101618 C101642 C101318 C100887 C102239,W107170 W105754 W100914 W105754 W108894 W103546 W104806 W106503,C100291 C101643 C100114 C102296 C100376 C101061 C101618 C102296 C100662 C101753 C102118 C101642 C101318 C100882 C100915 C102239
S104602,S125796,0,W108280 W107170 W105754 W100914 W100323 W102433 W105754 W101701 W103546 W104806 W106503,C100586 C100291 C101643 C100114 C102296 C100376 C101061 C101618 C101263 C100637 C102296 C100662 C101436 C100576 C101642 C101318 C100882 C100915 C102239,W107170 W105754 W100914 W105754 W108894 W103546 W104806 W106503,C100291 C101643 C100114 C102296 C100376 C101061 C101618 C102296 C100662 C101753 C102118 C101642 C101318 C100882 C100915 C102239
S108857,S114026,1,W103483 W105373 W106315 W100914 W104416,C100290 C100295 C102101 C101833 C101975 C100777 C100376 C101061 C101618 C101350,W104898 W103483 W107970 W109174 W105754 W102817 W108280 W106221 W104416,C100179 C101468 C100290 C100295 C102101 C101585 C100408 C101436 C100702 C102296 C102244 C100269 C100586 C100305 C102030 C101350
S105759,S133290,1,W107283 W103136 W104806 W103791 W107878 W101478 W100806 W109407 W108967 W107075,C100506 C101494 C101734 C100233 C100882 C100915 C101836 C101968 C102125 C101061 C100064 C101613 C101164 C101318 C100087 C100233 C101324 C102153 C101837,W106919 W101094 W101478 W100806 W109407,C100984 C101340 C100170 C100473 C102052 C101613 C101164 C101318 C100087 C100233
S112563,S120323,0,W109404 W108376 W105637 W104416,C101579 C102058 C100800 C102221 C101585 C101200 C100882 C100083 C101350,W109413 W108376 W105637 W104416,C101802 C102058 C100800 C102221 C101585 C101200 C100882 C100083 C101350
S112563,S110742,1,W109404 W108376 W105637 W104416,C101579 C102058 C100800 C102221 C101585 C101200 C100882 C100083 C101350,W109404 W108376 W106755 W106441,C101579 C102058 C100800 C102221 C101585 C101200 C100882 C100233 C101324
S125442,S106849,0,W107498 W103598 W105260 W106089 W104416 W106503,C100313 C100090 C101312 C102226 C102116 C100404 C102194 C101380 C101350 C102239,W107170 W105373 W100587 W104019 W104416,C100291 C101643 C100114 C101833 C101343 C101549 C100853 C101405 C101350
S121826,S106849,0,W107170 W107913 W105373 W100587 W103669,C100291 C101643 C100114 C102153 C100381 C101833 C101343 C101549 C100421 C101405,W107170 W105373 W100587 W104019 W104416,C100291 C101643 C100114 C101833 C101343 C101549 C100853 C101405 C101350
S115577,S116808,0,W106841 W104299 W100920 W100664,C100473 C102052 C100993 C100491 C101192 C100439 C102174 C100540,W100378 W102433 W108376 W104454,C100473 C102052 C100114 C100637 C101585 C101200 C101205 C100993 C100491
S119958,S108525,1,W108594 W103202,C102125 C101985 C101061 C101642 C101318 C100468 C100712,W108594 W103734 W105981 W103202,C102125 C101985 C101061 C100148 C100729 C101251 C102282 C100890 C100611 C101985 C101061 C101642 C101318 C100468 C100712
S101486,S108525,0,W108594 W103734 W105981 W108212 W108376 W102305 W105652 W104416 W106503,C102125 C101985 C101061 C100148 C100729 C101251 C102282 C100890 C100611 C101985 C101061 C101807 C101585 C101200 C101198 C102058 C101317 C101205 C101350 C102239,W108594 W103734 W105981 W103202,C102125 C101985 C101061 C100148 C100729 C101251 C102282 C100890 C100611 C101985 C101061 C101642 C101318 C100468 C100712
S122344,S129890,1,W108280 W108719 W101396 W109120 W102493,C100586 C100800 C102221 C100506 C102242 C100646 C101705 C100541 C100096 C100087,W108719 W101396 W109120 W100137 W108280 W106871,C100800 C102221 C100506 C102242 C100646 C101705 C100541 C100096 C100087 C101833 C100586 C101324 C100927 C101000 C100919
S104967,S117563,1,W104984 W106264 W107254 W106425 W105250,C100962 C100874 C101452 C101323 C100282 C100800 C102221 C101445 C100895 C100889 C100778 C101834 C102058 C101166 C100058,W106264 W107254 W107162 W103803 W105604 W108643 W105604 W100806 W107835 W107948,C100800 C102221 C101445 C100895 C100889 C100778 C100962 C100874 C101452 C101323 C100564 C101574 C101574 C101436 C101173 C102153 C100646 C102058 C102153 C101164 C101318 C102210 C101353 C102163
S105811,S117563,1,W106264 W107254 W108349 W108643 W109079 W104740 W103546,C100800 C102221 C101445 C100895 C100889 C100778 C100962 C100874 C101977 C101323 C100657 C100646 C102058 C101981 C101642 C101318 C100887 C101642 C101318,W106264 W107254 W107162 W103803 W105604 W108643 W105604 W100806 W107835 W107948,C100800 C102221 C101445 C100895 C100889 C100778 C100962 C100874 C101452 C101323 C100564 C101574 C101574 C101436 C101173 C102153 C100646 C102058 C102153 C101164 C101318 C102210 C101353 C102163
S129728,S100312,1,W100914 W106315 W108594 W104740 W106503,C100376 C101061 C101618 C101975 C100777 C102125 C101985 C101061 C101642 C101318 C100887 C102239,W100914 W106315 W100323 W100495 W104740 W106503,C100376 C101061 C101618 C101975 C100777 C101263 C102125 C101848 C101985 C101061 C101642 C101318 C100887 C102239
S129728,S134384,1,W100914 W106315 W108594 W104740 W106503,C100376 C101061 C101618 C101975 C100777 C102125 C101985 C101061 C101642 C101318 C100887 C102239,W100914 W102887 W105373 W106841 W104416 W106503,C100376 C101061 C101618 C100930 C101833 C100473 C102052 C101350 C102239
S119412,S115887,0,W108463 W108904 W108376 W106320 W100569 W108055 W104416,C100291 C101643 C100114 C100637 C100693 C101585 C101200 C100589 C102095 C100109 C100895 C101148 C101350,W108463 W108376 W106320 W106292 W104416 W106503,C100291 C101643 C100114 C100637 C101585 C101200 C100589 C100270 C100830 C101148 C101350 C102239
S115551,S130213,0,W103729 W107170 W103743 W105754 W106458 W106101 W106349 W105754 W102817 W103546 W104806 W108940 W101351,C100577 C101806 C100291 C101643 C100114 C100421 C101405 C100890 C101865 C102296 C102270 C101707 C100707 C100020 C100421 C102296 C102244 C100269 C101642 C101318 C100882 C100915 C100060 C101925 C100233,W107170 W100714 W104806 W108940 W101351,C100291 C101643 C100114 C101642 C100710 C100882 C100915 C100060 C101925 C100233
S103490,S130213,1,W103163 W100323 W107170 W100714 W104806 W106503,C101867 C101263 C100291 C101643 C100114 C101642 C100710 C100882 C100915 C102239,W107170 W100714 W104806 W108940 W101351,C100291 C101643 C100114 C101642 C100710 C100882 C100915 C100060 C101925 C100233
S119551,S105262,0,W103454 W106264 W103546 W104806,C100865 C102196 C100800 C102221 C101642 C101318 C100882 C100915,W105024 W106264 W103546 W104806,C101579 C101579 C100800 C102221 C101642 C101318 C100882 C100915
S119551,S115399,1,W103454 W106264 W103546 W104806,C100865 C102196 C100800 C102221 C101642 C101318 C100882 C100915,W105735 W109077 W106264 W103546 W104806,C101645 C100865 C101806 C100800 C102221 C101642 C101318 C100882 C100915
