qid1,qid2,label,wid1,cid1,wid2,cid2
S122428,S100458,1,W109012 W108138 W105373 W107486 W103655 W104416,C100800 C102221 C100480 C101629 C100061 C101463 C101833 C100707 C101953 C100114 C101999 C101350,W108138 W105373 W107486 W108719 W103655 W104416,C100061 C101463 C101833 C100707 C101953 C100800 C102221 C100506 C102242 C100646 C100114 C101999 C101350
S121421,S100458,0,W101183 W108719 W108376 W101396 W107838 W104416 W105754 W103765 W106405 W107272,C101802 C102058 C100800 C102221 C100506 C102242 C100646 C101585 C101200 C101705 C100726 C100670 C101350 C102296 C101399 C101837 C102210 C101164,W108138 W105373 W107486 W108719 W103655 W104416,C100061 C101463 C101833 C100707 C101953 C100800 C102221 C100506 C102242 C100646 C100114 C101999 C101350
S132207,S101736,1,W109592 W104925 W105763 W100091 W103336 W109533 W103937 W108280 W100587 W104416,C100534 C101023 C100599 C101837 C100817 C100332 C100800 C102221 C100379 C100463 C100340 C100848 C100865 C100586 C101343 C101549 C101350,W108106 W105763 W100291 W103336 W108376 W109592 W104416,C100607 C101837 C100817 C100537 C100800 C102221 C100379 C100463 C101585 C101200 C100534 C101023 C101350
S126475,S101736,0,W103187 W101146 W106264 W103537 W101351,C101649 C102223 C100800 C102221 C100541 C101654 C100233,W108106 W105763 W100291 W103336 W108376 W109592 W104416,C100607 C101837 C100817 C100537 C100800 C102221 C100379 C100463 C101585 C101200 C100534 C101023 C101350
S128121,S112201,1,W105739 W108497 W107498 W100806 W105079 W105754 W101479 W104047 W104416,C101608 C101295 C100114 C102085 C102180 C100313 C101164 C101318 C102097 C101870 C102296 C102226 C100275 C101097 C101296 C102097 C101870 C101350,W105739 W103948 W102468 W105079 W107646 W104806,C101608 C101295 C100114 C101176 C101357 C101016 C101198 C102097 C101870 C101394 C101031 C100882 C100915
S111459,S112201,0,W109453 W105739 W105754 W100150 W104806 W108036 W105754 W109062 W107186 W100968 W101160 W104903 W108280 W100878 W105754 W103948 W104806 W105638 W108280 W100806 W103871 W102493,C100480 C100586 C101608 C101295 C100114 C102296 C100680 C101198 C100882 C100915 C101200 C101807 C102296 C101324 C102059 C100233 C102216 C101635 C102174 C101558 C102102 C101174 C100586 C101826 C100964 C102296 C101176 C101357 C100882 C100915 C100716 C101629 C100586 C101164 C101318 C100915 C101033 C100087,W105739 W103948 W102468 W105079 W107646 W104806,C101608 C101295 C100114 C101176 C101357 C101016 C101198 C102097 C101870 C101394 C101031 C100882 C100915
S128121,S115851,0,W105739 W108497 W107498 W100806 W105079 W105754 W101479 W104047 W104416,C101608 C101295 C100114 C102085 C102180 C100313 C101164 C101318 C102097 C101870 C102296 C102226 C100275 C101097 C101296 C102097 C101870 C101350,W104382 W107660 W103948 W108777 W105754 W101855 W103100 W106405 W100806,C101295 C100322 C101039 C100036 C100114 C100637 C101176 C101357 C100221 C100243 C102296 C101602 C100099 C100295 C100919 C101837 C102210 C101164 C101318
S128034,S115851,1,W108092 W100323 W108777 W109194 W106405 W105286 W100806,C101579 C102058 C101295 C100322 C101039 C100036 C101263 C100221 C100243 C100766 C101399 C101837 C102210 C100096 C101164 C101318,W104382 W107660 W103948 W108777 W105754 W101855 W103100 W106405 W100806,C101295 C100322 C101039 C100036 C100114 C100637 C101176 C101357 C100221 C100243 C102296 C101602 C100099 C100295 C100919 C101837 C102210 C101164 C101318
S102245,S115851,1,W104658 W104382 W105691 W101396 W100806,C101110 C100040 C101295 C100322 C101039 C100036 C101324 C102226 C101705 C101164 C101318,W104382 W107660 W103948 W108777 W105754 W101855 W103100 W106405 W100806,C101295 C100322 C101039 C100036 C100114 C100637 C101176 C101357 C100221 C100243 C102296 C101602 C100099 C100295 C100919 C101837 C102210 C101164 C101318
S127610,S111401,0,W100914 W105406 W108376 W107518 W105079 W104416 W105373 W106502 W104416,C100376 C101061 C101618 C101629 C101585 C101200 C100489 C100659 C102097 C101870 C101350 C101833 C102220 C101618 C101350,W100914 W108553 W108376 W101396 W108632 W104416,C100376 C101061 C101618 C100480 C101629 C101585 C101200 C101705 C102220 C102034 C100087 C101350
S127610,S118417,1,W100914 W105406 W108376 W107518 W105079 W104416 W105373 W106502 W104416,C100376 C101061 C101618 C101629 C101585 C101200 C100489 C100659 C102097 C101870 C101350 C101833 C102220 C101618 C101350,W105268 W100914 W100323 W102433 W107431 W102533,C100480 C100376 C101061 C101618 C101263 C100637 C102226 C100153 C101777 C100447
S119286,S115849,1,W105204 W106264 W109161 W102260 W104989 W104515 W105922 W107511 W105763 W108280 W102364 W104083,C101541 C100800 C102221 C100707 C100481 C100379 C100463 C100263 C100952 C101843 C100033 C101902 C101271 C100898 C101837 C100817 C100586 C100398 C102044,W104995 W105204 W100091 W103964 W103285 W103985 W106895 W104515 W100806 W107363 W105204,C100903 C100903 C101541 C100332 C101088 C101843 C100800 C102221 C101425 C100379 C100118 C100812 C101736 C101565 C100263 C102242 C101843 C101164 C101318 C100599 C101440 C101541
S132385,S115849,0,W105083 W108484 W105204 W105345 W103754 W105754 W100806 W107363 W105204,C100607 C101985 C101317 C100527 C100678 C101541 C100747 C101843 C101425 C100379 C100118 C100812 C101736 C102296 C101164 C101318 C100599 C101440 C101541,W104995 W105204 W100091 W103964 W103285 W103985 W106895 W104515 W100806 W107363 W105204,C100903 C100903 C101541 C100332 C101088 C101843 C100800 C102221 C101425 C100379 C100118 C100812 C101736 C101565 C100263 C102242 C101843 C101164 C101318 C100599 C101440 C101541
S101529,S123685,1,W100053 W108376 W103765 W108484 W104416,C101295 C100322 C100438 C101061 C101585 C101200 C101399 C100527 C100678 C101350,W100053 W109533 W109592 W100323 W100587,C101295 C100322 C100438 C101061 C100340 C100534 C101023 C101263 C101343 C101549
S101149,S107405,1,W109077 W100091 W106124 W100323 W106102 W105620 W108376 W106429 W104416,C101806 C100332 C101802 C101265 C100339 C101263 C100637 C100949 C101811 C100714 C101585 C101200 C100033 C101902 C100760 C101047 C101350,W106124 W102049 W100252 W100593 W104416 W106503,C101802 C101265 C100339 C100780 C100833 C100506 C100114 C102139 C102261 C101350 C102239
S101149,S119124,0,W109077 W100091 W106124 W100323 W106102 W105620 W108376 W106429 W104416,C101806 C100332 C101802 C101265 C100339 C101263 C100637 C100949 C101811 C100714 C101585 C101200 C100033 C101902 C100760 C101047 C101350,W106124 W107660 W108376 W106093 W103181 W104416,C101802 C101265 C100339 C100114 C100637 C101585 C101200 C101413 C101139 C101770 C101591 C101350
S109867,S119124,1,W109034 W106978 W106978 W100019 W106978 W106978 W102433 W106978 W106978 W108376 W106978 W106978 W106093 W106978 W106978 W103181 W106978 W106978 W104416,C101802 C101265 C101459 C101459 C100339 C100114 C101459 C101459 C100637 C101459 C101459 C101585 C101200 C101459 C101459 C101413 C101459 C101459 C101139 C101770 C101591 C101459 C101459 C101350,W106124 W107660 W108376 W106093 W103181 W104416,C101802 C101265 C100339 C100114 C100637 C101585 C101200 C101413 C101139 C101770 C101591 C101350
S132783,S115280,0,W102733 W108553 W101156 W105865 W104740 W106503,C100376 C101061 C100291 C100480 C101629 C100671 C101541 C100801 C101991 C100291 C101642 C101318 C100887 C102239,W107170 W108553 W104735 W104740 W106503 W106503,C100291 C101643 C100114 C100480 C101629 C100988 C100964 C101642 C101318 C100887 C102239 C102239
S132783,S125017,0,W102733 W108553 W101156 W105865 W104740 W106503,C100376 C101061 C100291 C100480 C101629 C100671 C101541 C100801 C101991 C100291 C101642 C101318 C100887 C102239,W108463 W101441 W109319 W104416,C100291 C101643 C100114 C100637 C100066 C101888 C100522 C102271 C101350
S129727,S106220,0,W100693 W106204 W108389 W103927 W100962 W102072 W106754 W105604 W100806 W103487 W107230 W100323 W103240 W100053 W107265 W103113 W101818 W103546 W104806 W100962 W100516,C101574 C100127 C101902 C100895 C100722 C101560 C102226 C100381 C100260 C101794 C102281 C101880 C102153 C101164 C101318 C100778 C100577 C101804 C100175 C101263 C101231 C101295 C100322 C100438 C101061 C101750 C101295 C100797 C100262 C100919 C101642 C101318 C100882 C100915 C102226 C100381 C100276 C101341,W105604 W100806 W103487 W107230 W103113,C102153 C101164 C101318 C100778 C100577 C101804 C100175 C101295 C100797 C100262
S114924,S106220,1,W103113 W105604 W103546 W107673 W100323,C101295 C100797 C100262 C102153 C101642 C101318 C101740 C100175 C101263,W105604 W100806 W103487 W107230 W103113,C102153 C101164 C101318 C100778 C100577 C101804 C100175 C101295 C100797 C100262
S135119,S131328,0,W101355 W108594 W105754 W102193 W105637 W104416 W105754 W108280 W100748 W104416 W106503,C101841 C101317 C100865 C100438 C101938 C102125 C101985 C101061 C102296 C102226 C100882 C100083 C101350 C102296 C100586 C101807 C101466 C102147 C101350 C102239,W107312 W106184 W102193 W105637 W104416 W106503,C101841 C101317 C100865 C102125 C101039 C100036 C102226 C100882 C100083 C101350 C102239
S135119,S125163,1,W101355 W108594 W105754 W102193 W105637 W104416 W105754 W108280 W100748 W104416 W106503,C101841 C101317 C100865 C100438 C101938 C102125 C101985 C101061 C102296 C102226 C100882 C100083 C101350 C102296 C100586 C101807 C101466 C102147 C101350 C102239,W102817 W108594 W109533 W107765 W108179 W106628 W100806 W100748,C102244 C100269 C102125 C101985 C101061 C100340 C100170 C100527 C100678 C100310 C100688 C100586 C101800 C100586 C101164 C101318 C101807 C101466 C102147
S111502,S113301,1,W101894 W109237 W101341 W105754 W106452 W105754 W107507 W105754 W103546 W104806,C100394 C100477 C100439 C101985 C100800 C102221 C100170 C102242 C100646 C102296 C102221 C100029 C102226 C101854 C100393 C102296 C100012 C102254 C102221 C102296 C101642 C101318 C100882 C100915,W107507 W104740,C100012 C102254 C102221 C101642 C101318 C100887
S131452,S110897,0,W109404 W107660 W101396 W100806 W101351,C101579 C102058 C100800 C102221 C100114 C100637 C101705 C101164 C101318 C100233,W109404 W103187 W107335 W108918 W107134 W101396 W100806 W101351,C101579 C102058 C100800 C102221 C101649 C101803 C102208 C101340 C100640 C101705 C101164 C101318 C100233
S103830,S110897,1,W109404 W101396 W100806 W101351,C101579 C102058 C100800 C102221 C101705 C101164 C101318 C100233,W109404 W103187 W107335 W108918 W107134 W101396 W100806 W101351,C101579 C102058 C100800 C102221 C101649 C101803 C102208 C101340 C100640 C101705 C101164 C101318 C100233
S111965,S110897,0,W102432 W101803 W105604 W100806 W107835 W107948,C100800 C102221 C100114 C100590 C102253 C101192 C101340 C102153 C101164 C101318 C102210 C101353 C102163,W109404 W103187 W107335 W108918 W107134 W101396 W100806 W101351,C101579 C102058 C100800 C102221 C101649 C101803 C102208 C101340 C100640 C101705 C101164 C101318 C100233
S118139,S119451,1,W100361 W103765 W107498 W107170 W105991,C101023 C101306 C101399 C100313 C100291 C101643 C100114 C100293 C100439,W109592 W104299 W103765 W107498 W103343 W100323 W105991 W106503,C100534 C101023 C100993 C100491 C101399 C100313 C101303 C101505 C101340 C100291 C101643 C100114 C101263 C100293 C100439 C102239
S131748,S116909,0,W105265 W107170 W104072 W104309,C100271 C100637 C100291 C101643 C100114 C101399 C101197 C100993 C101719 C101562,W101206 W105754 W103526 W102535 W109356 W105604 W107170 W104416,C101786 C100233 C102296 C101643 C100291 C101271 C101071 C102153 C100291 C101643 C100114 C101350
S110477,S116909,0,W101206 W105754 W105043 W106245 W108540 W107038 W109189 W105754 W109536 W105754 W105604 W107170 W104416,C101786 C100233 C102296 C101061 C100291 C100477 C100439 C100446 C102022 C102137 C100376 C102296 C101574 C101071 C102296 C102153 C100291 C101643 C100114 C101350,W101206 W105754 W103526 W102535 W109356 W105604 W107170 W104416,C101786 C100233 C102296 C101643 C100291 C101271 C101071 C102153 C100291 C101643 C100114 C101350
S131748,S108601,0,W105265 W107170 W104072 W104309,C100271 C100637 C100291 C101643 C100114 C101399 C101197 C100993 C101719 C101562,W107498 W107728 W105991 W103765 W104309,C100313 C101023 C101902 C100291 C101643 C100114 C100293 C100439 C101399 C100993 C101719 C101562
S132058,S108601,1,W100361 W107170 W105991 W100216,C101023 C101306 C100291 C101643 C100114 C100293 C100439 C102062 C101209,W107498 W107728 W105991 W103765 W104309,C100313 C101023 C101902 C100291 C101643 C100114 C100293 C100439 C101399 C100993 C101719 C101562
S131748,S127008,1,W105265 W107170 W104072 W104309,C100271 C100637 C100291 C101643 C100114 C101399 C101197 C100993 C101719 C101562,W107170 W104806 W100498,C100291 C101643 C100114 C100882 C100915 C101197 C100299
S126079,S127008,0,W108463 W101378 W104874 W104806,C100291 C101643 C100114 C100637 C100988 C101174 C101676 C100656 C100882 C100915,W107170 W104806 W100498,C100291 C101643 C100114 C100882 C100915 C101197 C100299
S102986,S108686,1,W107170 W105406 W101396 W100806 W103143,C100291 C101643 C100114 C101629 C101705 C101164 C101318 C100050 C101596,W107170 W100914 W102193 W101396 W107151 W104416,C100291 C101643 C100114 C100376 C101061 C101618 C102226 C101705 C100306 C101942 C101350
S124328,S108686,0,W107170 W100971 W100914 W108553 W102193 W101396 W102751 W104416,C100291 C101643 C100114 C100252 C100376 C101061 C101618 C100480 C101629 C102226 C101705 C101744 C100329 C101350,W107170 W100914 W102193 W101396 W107151 W104416,C100291 C101643 C100114 C100376 C101061 C101618 C102226 C101705 C100306 C101942 C101350
S102986,S119308,0,W107170 W105406 W101396 W100806 W103143,C100291 C101643 C100114 C101629 C101705 C101164 C101318 C100050 C101596,W108463 W101396 W100806 W104242,C100291 C101643 C100114 C100637 C101705 C101164 C101318 C100050 C101021
S126194,S123783,0,W104201 W100323 W103016 W109194 W105204 W103336 W104416,C100693 C100710 C101263 C101999 C101046 C100766 C101399 C101541 C100800 C102221 C100379 C100463 C101350,W103062 W105328 W103016 W104534 W108376 W105204 W103336,C100541 C101661 C101999 C101046 C100890 C101585 C101200 C101541 C100800 C102221 C100379 C100463
S101883,S100679,1,W100856 W108581 W107498 W109120 W106245,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C100919 C101981 C100313 C100541 C100096 C100477 C100439,W100856 W105373 W103716 W109120 W109026 W106206 W106503 W109590 W102841 W101583 W105484 W101441 W106206 W104416 W106503,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C101833 C101185 C100541 C100096 C100114 C100009 C100718 C102239 C102153 C100577 C101468 C102147 C101609 C100586 C101693 C102227 C100722 C101200 C100066 C101888 C100009 C100718 C101350 C102239
S101883,S105351,0,W100856 W108581 W107498 W109120 W106245,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C100919 C101981 C100313 C100541 C100096 C100477 C100439,W100856 W101441 W107265 W109120 W105449 W102293,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C100066 C101888 C101750 C100541 C100096 C101238 C100114 C100718 C100608
S119401,S105351,1,W102230 W100856 W100323 W107212,C100170 C100865 C100290 C101061 C102305 C102058 C100376 C101061 C101618 C101263 C101813 C100456,W100856 W101441 W107265 W109120 W105449 W102293,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C100066 C101888 C101750 C100541 C100096 C101238 C100114 C100718 C100608
S101883,S100878,1,W100856 W108581 W107498 W109120 W106245,C100290 C101061 C102305 C102058 C100376 C101061 C101618 C100919 C101981 C100313 C100541 C100096 C100477 C100439,W100914 W101818 W107498 W109120 W106245,C100376 C101061 C101618 C100919 C100313 C100541 C100096 C100477 C100439
S124861,S126539,0,W106264 W107537 W108643 W106264 W104096 W108598 W106522 W105604 W107260,C100800 C102221 C101445 C100895 C100889 C100394 C100646 C102058 C100800 C102221 C100368 C101295 C100889 C100394 C101135 C100646 C102058 C102153 C101642,W106264 W107254 W106245 W103309 W104289 W102398 W106462 W105604 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C100477 C100439 C101175 C100477 C101370 C101648 C101606 C101568 C102153 C101164 C101318 C102210 C101353
S120314,S126539,1,W106264 W107254 W108643 W105604 W100806 W109026 W107948,C100800 C102221 C101445 C100895 C100889 C100778 C100646 C102058 C102153 C101164 C101318 C100114 C102163,W106264 W107254 W106245 W103309 W104289 W102398 W106462 W105604 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C100477 C100439 C101175 C100477 C101370 C101648 C101606 C101568 C102153 C101164 C101318 C102210 C101353
S124861,S100309,1,W106264 W107537 W108643 W106264 W104096 W108598 W106522 W105604 W107260,C100800 C102221 C101445 C100895 C100889 C100394 C100646 C102058 C100800 C102221 C100368 C101295 C100889 C100394 C101135 C100646 C102058 C102153 C101642,W100705 W100971 W104096 W108598 W105604 W108643 W100773 W104416,C100800 C100337 C102221 C102118 C101445 C100895 C100889 C100394 C100252 C100368 C101295 C100889 C100394 C102153 C100646 C102058 C101529 C100393 C101350
S110057,S102567,0,W107170 W105406 W106340 W107982 W104874 W108212 W100323 W104806,C100291 C101643 C100114 C101629 C101100 C101174 C100125 C101676 C100656 C101807 C101263 C100882 C100915,W107170 W108553 W100323 W100350 W103948 W104806,C100291 C101643 C100114 C100480 C101629 C101263 C102080 C100906 C100114 C101176 C101357 C100882 C100915
S103676,S102567,1,W107170 W106315 W100323 W100350 W101396 W100806 W102493,C100291 C101643 C100114 C101975 C100777 C101263 C102080 C100906 C100114 C101705 C101164 C101318 C100087,W107170 W108553 W100323 W100350 W103948 W104806,C100291 C101643 C100114 C100480 C101629 C101263 C102080 C100906 C100114 C101176 C101357 C100882 C100915
S107072,S102567,0,W103948 W101786 W103526 W106503,C101176 C101357 C101370 C101794 C101643 C100291 C102239,W107170 W108553 W100323 W100350 W103948 W104806,C100291 C101643 C100114 C100480 C101629 C101263 C102080 C100906 C100114 C101176 C101357 C100882 C100915
S110057,S116344,1,W107170 W105406 W106340 W107982 W104874 W108212 W100323 W104806,C100291 C101643 C100114 C101629 C101100 C101174 C100125 C101676 C100656 C101807 C101263 C100882 C100915,W108463 W104874 W104884 W103948 W101219,C100291 C101643 C100114 C100637 C101676 C100656 C100170 C101100 C101176 C101357 C102139 C100882
S133809,S133985,0,W101341 W102193 W105637 W104416 W106402 W105684 W104416 W106177 W101351 W104364 W103674 W101351,C100800 C102221 C100170 C102242 C100646 C102226 C100882 C100083 C101350 C101234 C101861 C102058 C100506 C101350 C100473 C102139 C100233 C101277 C102153 C101006 C102139 C100233,W104806 W108719 W106177 W101351 W104364 W103674 W101351,C100882 C100915 C100800 C102221 C100506 C102242 C100646 C100473 C102139 C100233 C101277 C102153 C101006 C102139 C100233
S108567,S133985,0,W105050 W105754 W102132 W103309 W101341 W101396 W100806 W102493,C100091 C101264 C102296 C101176 C101175 C100800 C102221 C100170 C102242 C100646 C101705 C101164 C101318 C100087,W104806 W108719 W106177 W101351 W104364 W103674 W101351,C100882 C100915 C100800 C102221 C100506 C102242 C100646 C100473 C102139 C100233 C101277 C102153 C101006 C102139 C100233
S107872,S108214,1,W108463 W101396 W100806 W107787 W108376 W100308 W107699,C100291 C101643 C100114 C100637 C101705 C101164 C101318 C102208 C101173 C101585 C101200 C100732 C100584 C101865 C101061 C100291,W107170 W101396 W100806 W102635 W108376 W105627 W105043,C100291 C101643 C100114 C101705 C101164 C101318 C100099 C100223 C101585 C101200 C101919 C101061 C100291
S107872,S133693,1,W108463 W101396 W100806 W107787 W108376 W100308 W107699,C100291 C101643 C100114 C100637 C101705 C101164 C101318 C102208 C101173 C101585 C101200 C100732 C100584 C101865 C101061 C100291,W107170 W105406 W101818 W101396 W100806 W107787,C100291 C101643 C100114 C101629 C100919 C101705 C101164 C101318 C102208 C101173
S108613,S133693,1,W107170 W102193 W101396 W104797 W104416,C100291 C101643 C100114 C102226 C101705 C100801 C101991 C101350,W107170 W105406 W101818 W101396 W100806 W107787,C100291 C101643 C100114 C101629 C100919 C101705 C101164 C101318 C102208 C101173
S107872,S118162,0,W108463 W101396 W100806 W107787 W108376 W100308 W107699,C100291 C101643 C100114 C100637 C101705 C101164 C101318 C102208 C101173 C101585 C101200 C100732 C100584 C101865 C101061 C100291,W103163 W101305 W108280 W107170 W106294 W105652 W105373 W109083 W101707 W103163 W100028,C101867 C100271 C100684 C100586 C100291 C101643 C100114 C101867 C100934 C102058 C101317 C101205 C101833 C101553 C100613 C100165 C101867 C101962
S133331,S108523,0,W107965 W106264 W106245 W104309,C102178 C100110 C100800 C102221 C100477 C100439 C100993 C101719 C101562,W104806 W106264 W104309,C100882 C100915 C100800 C102221 C100993 C101719 C101562
S122401,S108523,1,W108719 W104806 W109194 W104309 W105029 W104456,C100800 C102221 C100506 C102242 C100646 C100882 C100915 C100766 C101399 C100993 C101719 C101562 C102226 C100882 C100233 C100479,W104806 W106264 W104309,C100882 C100915 C100800 C102221 C100993 C101719 C101562
S131910,S116959,0,W106264 W107254 W105604 W106522 W105754 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C102153 C101135 C100646 C102058 C102296 C101164 C101318 C102210 C101353,W106264 W107254 W105604 W109599 W106425 W105754 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C102153 C101135 C101834 C102058 C102296 C101164 C101318 C102210 C101353
S118514,S116959,1,W106264 W107254 W104222 W108643 W105604 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C100227 C100646 C102058 C102153 C101164 C101318 C102210 C101353,W106264 W107254 W105604 W109599 W106425 W105754 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C102153 C101135 C101834 C102058 C102296 C101164 C101318 C102210 C101353
S110328,S116959,0,W107265 W101341 W100323 W102433 W103187 W101956 W106583 W105754 W101984 W105763,C101750 C100800 C102221 C100170 C102242 C100646 C101263 C100637 C101649 C102174 C100777 C101317 C101205 C102296 C102153 C101324 C102153 C101837 C100817,W106264 W107254 W105604 W109599 W106425 W105754 W100806 W107835,C100800 C102221 C101445 C100895 C100889 C100778 C102153 C101135 C101834 C102058 C102296 C101164 C101318 C102210 C101353
S129396,S127474,0,W100053 W100629 W102193 W104806 W101351 W104416,C101295 C100322 C100438 C101061 C101277 C102226 C100882 C100915 C100233 C101350,W100053 W105029 W104416,C101295 C100322 C100438 C101061 C102226 C100882 C100233 C101350
S107919,S127474,1,W102620 W100053 W102193 W105637 W104416,C100890 C101990 C101295 C100322 C100438 C101061 C102226 C100882 C100083 C101350,W100053 W105029 W104416,C101295 C100322 C100438 C101061 C102226 C100882 C100233 C101350
S129396,S119239,1,W100053 W100629 W102193 W104806 W101351 W104416,C101295 C100322 C100438 C101061 C101277 C102226 C100882 C100915 C100233 C101350,W100053 W102193 W101665 W106755 W104416,C101295 C100322 C100438 C101061 C102226 C100971 C101696 C100882 C100233 C101350
S130454,S119239,0,W105739 W106315 W100878 W108581 W103546 W104806,C101608 C101295 C100114 C101975 C100777 C101826 C100964 C100919 C101981 C101642 C101318 C100882 C100915,W100053 W102193 W101665 W106755 W104416,C101295 C100322 C100438 C101061 C102226 C100971 C101696 C100882 C100233 C101350
S104805,S117947,1,W106264 W100323 W100829 W109640 W105604 W100806 W105735 W104299 W108376 W106245 W107913 W106264,C100800 C102221 C101263 C101234 C100296 C100413 C100245 C102153 C101164 C101318 C101645 C100865 C100993 C100491 C101585 C101200 C100477 C100439 C102153 C100381 C100800 C102221,W107312 W104299 W108376 W106245 W108248,C101841 C101317 C100865 C100993 C100491 C101585 C101200 C100477 C100439 C100800 C102221 C100424 C101699
S119890,S130426,0,W106841 W105373 W106315 W106754 W104416,C100473 C102052 C101833 C101975 C100777 C102281 C101880 C101350,W103163 W106841 W105373 W108828 W104416,C101867 C100473 C102052 C101833 C102253 C101192 C101350
S112782,S130426,1,W106841 W101140 W109194 W100004 W108376 W108828 W104156,C100473 C102052 C101843 C100692 C100766 C101399 C100993 C101449 C100599 C100640 C101585 C101200 C102253 C101192 C101424,W103163 W106841 W105373 W108828 W104416,C101867 C100473 C102052 C101833 C102253 C101192 C101350
S119890,S115249,0,W106841 W105373 W106315 W106754 W104416,C100473 C102052 C101833 C101975 C100777 C102281 C101880 C101350,W104806 W101857 W100497 W107419,C100882 C100915 C102125 C101985 C101061 C101807 C101466 C102147 C100170 C100092 C101917
S134261,S115249,1,W108594 W104806 W106628 W100806 W101351 W100323 W100750,C102125 C101985 C101061 C100882 C100915 C100586 C101800 C100586 C101164 C101318 C100233 C101263 C100887 C101496,W104806 W101857 W100497 W107419,C100882 C100915 C102125 C101985 C101061 C101807 C101466 C102147 C100170 C100092 C101917
S119890,S108995,1,W106841 W105373 W106315 W106754 W104416,C100473 C102052 C101833 C101975 C100777 C102281 C101880 C101350,W105022 W106841 W105373 W106315 W106754 W104416,C100098 C100678 C100473 C102052 C101833 C101975 C100777 C102281 C101880 C101350
